2026-02-16;Thombay;70;
2026-02-16;Cerius;58;
2026-02-16;Thomzay;49;
2026-02-16;Babsi;66;
2026-02-16;Paul;51;
2026-02-16;Martin;56;
2026-02-16;Gloria;53;
2026-02-16;Azog;71;
2026-02-16;Simon;71;
2026-02-16;AnSaCruiser;77;
2026-02-16;Tastef;75;
2026-02-16;Trada17;72;
2026-02-16;13TurboDoudl12;66;
2026-02-16;LuanY3lloW;75;
2026-02-16;LuanY3lloW2023;37;
2026-02-16;SwanHill666;71;
2026-02-16;phiiilgood;59;
2026-02-16;Prinzessina14;63;
2026-02-16;86Berni;74;
2026-02-16;90erTom;68;
2026-02-16;Janajo2022;62;
2026-02-16;SecretSaphir;66;
2026-02-16;RedAtomika;74;
2026-02-16;Steirer985;60;
